product_name,product_brand,product_category,product_code,product_series,business,product_identifier
S26 Switching Subbase,Johnson Controls,Accessory,Not Specified,Not Specified,Building Automation and Controls,S26_Switching_Subbase-Joh-XX-XX-Bs
DMPR-MPF342 Electric Actuator and Damper Assembly,Johnson Controls,Damper Parts and Accessories,Not Specified,Not Specified,Building Automation and Controls,DMPR-MPF342_Electric_Actuator_and_Damper_Assembly-Joh-XX-XX-Bs
2904-9060 Weatherproof Visible Appliance,Simplex,Notification Appliances and Speakers,Not Specified,Not Specified,Not Specified,2904-9060_Weatherproof_Visible_Appliance-Sim-XX-XX-Nd
Blade Arm Kit,Johnson Controls,Damper Parts and Accessories,Not Specified,Not Specified,Building Automation and Controls,Blade_Arm_Kit-Joh-XX-XX-Bs
TE-6300 Sensor Holder and Retainer,Johnson Controls,"Accessory, Temperature Sensor",TE-6300,Not Specified,Building Automation and Controls,TE-6300_Sensor_Holder_and_Retainer-Joh-TE-6300-XX-Bs
TE-6300 Temperature Sensor,Johnson Controls,"Accessory, Temperature Sensor","TE-6300, TE-6300A, TE-6300E, TE-6300F, TE-6300M, TE-6300P, TE-6300V, TE-6300W-101, TE-6315M-1, TE-63xS",Not Specified,Building Automation and Controls,TE-6300_Temperature_Sensor-Joh-_TE-63xS-XX-Bs
T-3200 Thermostat,Johnson Controls,"Pneumatic Thermostat, Temperature and Pressure Thermostat",T-3200-1,Not Specified,Building Automation and Controls,T-3200_Thermostat-Joh-T-3200-1-XX-Bs
T-3100 Thermostat,Johnson Controls,"Pneumatic Thermostat, Temperature and Pressure Thermostat","T-3100-2, T-3100-3, T-3100-6005, T-3111-1, T-3111-2, T-3111-3, T-3111-6, T-3200-1, T-3300-1, T-3300-2, T-3311-1, T-3311-2",Not Specified,Building Automation and Controls,T-3100_Thermostat-Joh-_T-3311-2-XX-Bs
Damper Installation,Johnson Controls,Damper Parts and Accessories,Not Specified,Not Specified,Building Automation and Controls,Damper_Installation-Joh-XX-XX-Bs
2902 Series 4000-Type,Simplex,Accessories,Not Specified,Not Specified,Not Specified,2902_Series_4000-Type-Sim-XX-XX-Nd
ACC-500-2 Thermostat Wall Plate,Johnson Controls,Accessory,ACC-500-2,Not Specified,Building Automation and Controls,ACC-500-2_Thermostat_Wall_Plate-Joh-ACC-500-2-XX-Bs
LC-6100 Load Limiting Controller,Johnson Controls,Field Device,Not Specified,Not Specified,Building Automation and Controls,LC-6100_Load_Limiting_Controller-Joh-XX-XX-Bs
T-7900 Strap-On Line Voltage Thermostat,Johnson Controls,Line Voltage Thermostat,"T-7900-1, T-7900-3",Not Specified,Building Automation and Controls,T-7900_Strap-On_Line_Voltage_Thermostat-Joh-_T-7900-3-XX-Bs
W1LC,YORK,Reciprocating,Not Specified,Not Specified,Chillers,W1LC-YOR-XX-XX-Cs
VCB,YORK,Condensing Unit,Not Specified,Not Specified,Chillers,VCB-YOR-XX-XX-Cs
LCHWC,YORK,Reciprocating,Not Specified,Not Specified,Chillers,LCHWC-YOR-XX-XX-Cs
V-9999-660,Johnson Controls,Flanged Globe or Ball Valve and Actuator,"V-9999-660, V-9999-661",Not Specified,Building Automation and Controls,V-9999-660-Joh-_V-9999-661-XX-Bs
V-9999-661,Johnson Controls,Flanged Globe or Ball Valve and Actuator,"V-9999-660, V-9999-661",Not Specified,Building Automation and Controls,V-9999-661-Joh-_V-9999-661-XX-Bs
YCUJ,YORK,Condensing Unit,Not Specified,Not Specified,Chillers,YCUJ-YOR-XX-XX-Cs
YCR,YORK,Reciprocating,Not Specified,Not Specified,Chillers,YCR-YOR-XX-XX-Cs
YCW,YORK,Reciprocating,Not Specified,Not Specified,Chillers,YCW-YOR-XX-XX-Cs
LVR27A-602,Johnson Controls,Electric Actuator,LVR27A-602,Not Specified,Building Automation and Controls,LVR27A-602-Joh-LVR27A-602-XX-Bs
ESC,YORK,Absorption,Not Specified,Not Specified,Chillers,ESC-YOR-XX-XX-Cs
ESE,YORK,Absorption,Not Specified,Not Specified,Chillers,ESE-YOR-XX-XX-Cs
T26 Line Voltage Thermostat,Johnson Controls,Line Voltage Thermostat,"PLT333-12R, PLT333-1R, PLT333-2R, PLT333-3R, PLT333-4R, PLT333-5R, PLT333-6R, PLT333-9R",Not Specified,Building Automation and Controls,T26_Line_Voltage_Thermostat-Joh-_PLT333-9R-XX-Bs
YCA,YORK,Reciprocating,Not Specified,Not Specified,Chillers,YCA-YOR-XX-XX-Cs
PQ-1001 Damper Position Indicator,Johnson Controls,Damper Parts and Accessories,"PQ-1001-3, PQ-1001-4",Not Specified,Building Automation and Controls,PQ-1001_Damper_Position_Indicator-Joh-_PQ-1001-4-XX-Bs
Damper Application Engineering,Johnson Controls,Damper Parts and Accessories,Not Specified,Not Specified,Building Automation and Controls,Damper_Application_Engineering-Joh-XX-XX-Bs
